category,name,sku,barcode,selling_price,cost_price,tax_rate,unit,initial_stock,low_stock_threshold,description
Soft Drinks,Maltina-Can,Malt-001,,650,500,0,bottle,41,20,Carbonated soft drink
Soft Drinks,Nutri-Milk-Plastic,Nutr-002,,700,500,0,bottle,58,20,Carbonated soft drink
Soft Drinks,Malta Guinness-Can,Malt-003,,650,500,0,bottle,31,20,Carbonated soft drink
Soft Drinks,Fanta 50cl -Plastic,Fant-004,,500,400,0,bottle,37,20,Carbonated soft drink
Soft Drinks,Fearless-Plastic,Fear-005,,500,400,0,bottle,54,20,Carbonated soft drink
Soft Drinks,Team Bitter Lemon,Team-006,,500,400,0,bottle,26,20,Carbonated soft drink
Soft Drinks,Coca-Cola 50cl-Plastic,Coca-007,,500,400,0,bottle,49,20,Carbonated soft drink
Soft Drinks,5-Alive 35cl,5-Al-008,,650,500,0,bottle,7,20,Carbonated soft drink
Soft Drinks,5-Alive 85cl,5-Al-009,,1500,1000,0,bottle,6,20,Carbonated soft drink
Soft Drinks,Schweppes Can,Schw-0010,,600,400,0,bottle,56,20,Carbonated soft drink
Soft Drinks,Aquafina Water,Aqua-0011,,300,200,0,bottle,84,20,Carbonated soft drink
Soft Drinks,Fanta 35cl -Plastic,Fant-0012,,300,200,0,bottle,12,20,Carbonated soft drink
Soft Drinks,Coca-Cola 35cl-Plastic,Coca-0013,,300,200,0,bottle,16,20,Carbonated soft drink
Soft Drinks,Smoov Chapman,Smoo-0014,,300,200,0,bottle,10,20,Carbonated soft drink
Soft Drinks,Chivita Active 1L,Chiv-0015,,2000,1500,0,bottle,8,20,Carbonated soft drink
Soft Drinks,Hollandia Yoghurt 1L,Holl-0016,,2000,1500,0,bottle,5,20,Carbonated soft drink
Soft Drinks,Monster Energy Drink,Mons-0017,,1300,1000,0,bottle,57,20,Carbonated soft drink
Soft Drinks,Predator Energy Drink,Pred-0018,,500,400,0,bottle,18,20,Carbonated soft drink
Soft Drinks,Sprite 50cl,Spri-0019,,500,400,0,bottle,10,20,Carbonated soft drink
Soft Drinks,V-Cool Coffe Cola,V-Co-0020,,500,400,0,bottle,9,20,Carbonated soft drink
Soft Drinks,Infinite Power 50cl Enery Drink ,Infi-0021,,450,300,0,bottle,3,20,Carbonated soft drink
Soft Drinks,mr-V Bottle 75cl Water,mr-V-0022,,300,200,0,bottle,8,20,Carbonated soft drink
Soft Drinks,American Cola 60CL,Amer-0023,,500,400,0,bottle,11,20,Carbonated soft drink
Soft Drinks,Schweppes 40cl Bottle,Schw-0024,,500,400,0,bottle,10,20,Carbonated soft drink
Soft Drinks,Coca-Cola 50cl-Bottle,Coca-0025,,350,200,0,bottle,5,20,Carbonated soft drink
Soft Drinks,Sprite 50cl-Bottle,Spri-0026,,350,200,0,bottle,5,20,Carbonated soft drink
Soft Drinks,Fanta 50cl -Bottle,Fant-0027,,350,200,0,bottle,4,20,Carbonated soft drink
Soft Drinks,Pure Water,Pure-0028,,30,10,0,bottle,50,20,Carbonated soft drink
Soft Drinks,Pure Water Bag,Pure-0029,,400,300,0,bottle,51,20,Carbonated soft drink
Spirit Drinks,Orijin Bitters 20cl,Orij-0031,,1500,1300,0,bottle,25,20,Alcoholic Spirit Drink
Spirit Drinks,Gbefun Supper Bitters-200ml,Gbef-0032,,600,500,0,bottle,21,20,Alcoholic Spirit Drink
Spirit Drinks,Striker Bitters-120ml,Stri-0033,,400,300,0,bottle,24,20,Alcoholic Spirit Drink
Spirit Drinks,Igboya Bitters-375ml,Igbo-0034,,1200,1000,0,bottle,21,20,Alcoholic Spirit Drink
Spirit Drinks,Yaahu Gin-125ml,Yaah-0035,,400,300,0,bottle,4,20,Alcoholic Spirit Drink
Spirit Drinks,Kakaraka Bitters-120ml,Kaka-0036,,400,300,0,bottle,23,20,Alcoholic Spirit Drink
